e_score,s_score,g_score,total_score,ticker_year,doc_vector
3.16,18.0,11.83,32.98,BSX_2020,"[ 4.9711566  -1.4189667   0.3766232   1.0528445   2.8807585  -4.02939
 -0.20298554 -2.152876    0.7884693  -1.2362151   1.4638349   3.9237716
 -0.5018662  -1.1261894  -4.006316   -4.2575793   0.9634017  -1.1377151
  1.9352714  -1.4439477   1.848595    0.97404724 -1.684689    3.1962311
 -0.8975406   2.2157166  -0.72296625 -2.4324841   1.1735606  -1.1645012
  0.28705552  2.697521    1.3540763  -2.3823123   0.9333405  -0.46433353
  1.8962553  -2.6334264  -5.0018673  -2.2271366   0.2004192   1.5005373
 -0.49678296 -3.379574    2.896814   -3.5028155   0.04765956 -1.7737589
  0.9369201   2.1554859  -2.916549   -0.88988477 -1.5886482  -2.5402987
  1.3254232   3.5206783  -2.2648876  -1.0785246   0.3978499   0.7632994
 -1.1101063   1.670073    2.7761333  -3.7396514  -0.99582016  1.2190207
 -1.7839888   3.1085165   0.58538365  3.3451002  -1.2046947  -0.9496686
  1.6872991   1.9609519  -0.44568554  3.1325312  -1.130727   -2.1019788
  0.48909295 -0.6287      3.4644818  -0.7360298  -1.9467925  -0.6358066
  0.5932745  -0.36870047  3.4701312  -0.10720368  1.803222    3.1091473
 -1.716233    2.0731316  -1.8963277   2.5141358   2.1360536  -1.2946461
  4.5646787  -0.57898223  1.5223522  -0.06747111]"
2.83,12.86,10.32,26.02,BSX_2022,"[ 4.8116007e+00 -2.1546822e+00 -1.3870673e-01  7.3092425e-01
  3.3596816e+00 -4.8965821e+00  2.2892468e-01 -1.1421553e+00
 -3.8095858e-02 -2.3923750e+00  1.8297567e+00  2.4070578e+00
 -5.6797886e-01 -1.0565526e+00 -3.9281700e+00 -3.9639924e+00
  1.1782302e+00 -4.5789772e-01  2.4544120e+00 -8.1866229e-01
  3.1792977e+00  1.5445775e-01 -1.6199343e+00  2.7078607e+00
 -1.0992236e+00  2.5034657e+00 -8.8836747e-01 -2.6341443e+00
  7.5247222e-01 -8.0288357e-01 -1.5783597e+00  3.7055409e+00
  1.6457516e+00 -1.9294492e+00  2.1699600e+00 -8.1027186e-01
  3.0055180e+00 -2.8834522e+00 -4.5840802e+00 -2.3109632e+00
  8.4956199e-01  7.4285221e-01 -8.0286634e-01 -3.6109283e+00
  1.2728931e+00 -2.5310745e+00 -1.1511200e-01 -7.9799443e-01
  4.2798659e-01  2.0705466e+00 -3.0287492e+00  1.6300123e-02
 -1.4692894e+00 -2.1926162e+00  1.7400675e+00  3.4136574e+00
 -3.3767004e+00 -1.7532561e+00 -1.1023676e+00  3.4876066e-01
 -4.7895831e-01  1.6908766e+00  2.2982690e+00 -3.2560663e+00
 -7.6155372e-02 -1.5496327e-01 -1.6725924e+00  3.0713916e+00
 -2.0575944e-01  3.6449902e+00 -5.4604936e-01 -1.6821290e+00
  9.8475504e-01  2.0938272e+00 -4.4141245e-01  3.8804245e+00
 -1.6850625e+00 -2.0889857e+00  3.9942637e-03 -1.6790652e+00
  2.6857681e+00 -8.1552136e-01 -2.0527370e+00 -1.2390674e+00
  1.5087301e+00  1.1096997e-01  3.1737683e+00 -1.0752058e+00
  2.3058386e+00  2.5196488e+00 -2.4599926e+00  2.9965854e+00
 -2.2453635e+00  2.5069275e+00  2.9976506e+00 -2.0890176e+00
  3.1808510e+00 -1.2275393e+00  1.7379638e+00 -1.6864823e-01]"
3.81,4.28,5.86,13.94,EXR_2022,"[ 3.2593958  -0.81578     0.46997276  0.19818099  1.4173514  -5.3423676
 -2.0347998  -1.7614533  -0.5426655  -1.4887662  -1.3766272   2.4283338
 -5.117361   -2.1886501   1.3804712  -1.7833828   2.0025265  -4.4943357
  3.4100811  -1.132756   -2.4496102   0.53372264 -4.8905444   1.4943122
  2.3185558   0.91563046  0.32828462 -1.5171103  -1.6954372   0.11879948
  0.02342167  1.0299137   1.1612608  -1.3646929   0.28965777 -1.5351033
  0.15261737 -2.511865   -4.8346553  -2.1223247  -1.1537961   2.4314587
  1.0352249   1.073632    0.02804733  0.9130035  -0.8244822   1.6008497
 -0.5877785  -0.35703433 -2.937184   -1.5940013  -1.7439986  -3.9480324
 -0.13253339  1.8284068  -1.3921838  -0.27636456 -0.6849404   0.54989415
 -1.8035003   5.4603286  -0.54563093 -0.8240428  -0.5257163   0.91166687
 -0.99339056  0.18824327  0.6164234   2.485762   -3.5977476  -1.8869634
  0.5190598   3.964432   -3.9321818   2.9975066  -1.8468996  -0.06084396
  0.9628826  -1.0771495   2.355423   -0.04962578 -3.3151274  -0.10798985
 -2.8599372  -0.51482385  1.3331723  -3.1299074  -0.18573259 -0.7970476
  0.41429648  0.8361782   0.3034282   0.21940948  0.2800574  -1.4652704
  1.4093667  -2.187854    2.6989322   0.26970765]"
16.38,14.2,5.9,36.36,ADM_2019,"[-0.53194064  1.8694689   1.2666491   2.6393018  -0.08945358 -4.9619474
 -0.29544902  1.1452739  -1.2833308  -3.1760364   1.7429975  -2.1516407
  0.15958372  0.95796967 -1.7233319  -1.491394    0.4265371  -0.25558415
  1.4099772   2.8384228   2.8590891   0.77296925 -0.9724827  -0.05033482
 -0.87924975  0.30896783 -0.352596   -4.4164257   1.2106767   0.8004327
 -2.0625606   6.1987333  -0.73310447  3.7462022  -3.4400308  -2.7310216
  0.10329852 -2.8847892  -4.1337433  -2.105497   -0.775625   -0.54885924
 -0.4577384  -3.4167109   3.1506598   0.03107154 -0.79693663  1.6818202
  3.6198936  -1.1342816  -2.8282826   1.2460798  -2.7414386  -2.0235076
 -0.8407614   1.1963593   3.85516     2.2041893  -2.4360912  -2.5668757
 -3.0134535   7.5257406  -0.94035774 -0.40942025  0.8516209  -0.8629186
 -2.0885997   3.0481553  -2.6540694   2.1831431  -3.3965464   0.07331152
  2.2933471   1.4097412   0.7145504   5.840642   -6.159551   -3.912728
  0.8148347   1.283209   -0.5252009  -2.236893   -1.6419244  -2.354163
 -0.85817206 -5.633691   -0.78112614 -1.3685218   0.9303441   1.4738908
 -4.0920134   0.84496486  0.05392948 -0.6325688   1.0277115   1.1872059
 -0.75417227 -1.477099    1.2877676  -0.34466696]"
15.89,13.51,5.38,34.78,ADM_2020,"[ 0.1028966   1.3132257   0.5421594   2.0143006  -1.9291744  -5.2320023
 -0.2824828   0.899809   -2.3504107  -1.9280114   1.2604368  -1.8454609
 -0.55334127  0.1389986  -2.0638041  -1.9954629  -1.3205718  -1.2803403
  0.6481041   2.4740076   5.1669965   1.0505642  -0.65959525 -0.8583986
  0.71220183  0.5249982  -0.6452816  -3.6842647   0.8216461   1.2762537
 -1.9346132   6.943533   -1.152507    2.24519    -2.8576949  -1.9121846
 -0.8654416  -2.6450331  -3.7826614  -0.7572976  -0.8077316   0.22433811
 -0.7446495  -3.7723813   1.6100827  -0.40747502  1.6159147   1.3678122
  5.092556   -0.7481586  -3.3705451   1.860722   -2.4895833  -1.5220281
 -2.1291208  -0.32044157  3.9263303   5.083693   -1.4784956  -2.103714
 -2.4326074   5.4160533   0.11863948 -0.40867615  1.4895369  -0.32305974
 -1.2006931   3.1678905  -2.4750373   1.1838084  -3.599074    1.540713
  2.6848443   1.4503672   0.27238736  5.6672444  -6.6602283  -4.390412
  2.554029    3.0841439  -0.55975085 -1.8886224  -1.5185913  -1.2943531
 -1.6538315  -5.3334594   0.52558386 -0.9480701  -0.4139074   3.148212
 -4.9421268   1.936821   -0.1765527  -1.4957182   0.23910032 -0.27021882
  0.36083263 -2.2036002   1.5322624  -1.0792545 ]"
15.91,13.49,4.85,34.25,ADM_2021,"[ 0.01621071 -0.14701426  1.1423916   2.9092846  -1.6604596  -4.6644287
  0.15393509  2.084473   -2.061609   -2.8079898  -0.37256372 -2.8172038
  0.34537843  1.095779   -0.91970253 -2.735487   -0.2053816  -0.43562287
 -0.86533695  2.7655907   4.758978   -0.07409384 -1.369247   -0.8546638
 -1.1955816  -0.84885    -0.6483137  -3.9990723   0.45189646  1.821182
 -2.6238036   5.0472045  -0.18097785  3.5101354  -1.2352748  -2.1422527
  0.2534896  -0.30866593 -2.895831   -0.1381691   0.58732736  0.3731736
 -2.6144564  -2.8564467   1.1491147  -1.1144155   0.2071826   1.9015412
  4.786324   -0.4374322  -3.6224103   1.627      -1.5405704  -3.4115732
 -1.1022692   0.01440804  1.0207393   3.7901134  -1.9116178  -1.3008614
 -0.51047933  5.8971605  -0.4945308   0.03312446  2.1918771   0.67181844
 -1.0333275   2.3038511  -2.1923494   1.0963156  -2.3167813   0.36294943
 -0.3393313   0.8751071   1.1834078   5.8376136  -6.0298514  -4.1979704
  1.3356849   3.9347396  -0.11178832 -2.4021685  -0.679576   -3.1439252
 -1.4855272  -5.092478   -1.1974695  -2.2204912   0.25091878  1.836167
 -5.464023    1.6217823  -0.24634293 -1.9774959   0.08320188  0.06206708
 -1.4512961  -1.8030043   1.377919   -0.7743178 ]"
2.11,5.2,4.6,11.92,BBY_2020,"[ 1.4223770e+00  1.0338726e+00  1.4714297e+00 -4.0531394e-01
  2.1653494e-01 -3.9779432e+00 -8.1931829e+00 -2.3189327e-01
 -2.9431650e-01  2.1161635e+00  1.9463228e+00  1.7058638e-01
 -8.1519037e-01 -8.5122699e-01 -2.8009808e+00  4.7791860e-01
  6.3397908e+00 -2.1595359e+00  8.4142113e-01  9.7406310e-01
  3.3052034e+00  8.4474522e-01 -4.3916878e-01  6.1468306e+00
 -4.0980830e+00  3.4815779e+00  3.5551250e+00 -7.5437169e+00
  7.6055449e-01 -2.1517253e+00 -4.2993255e+00 -2.1077318e+00
  3.9363396e+00 -1.1184914e+00 -2.7111824e+00 -3.0991611e+00
 -7.2378869e+00 -1.5727377e+00 -1.8889400e+00 -4.7919130e+00
  8.6628664e-01  4.7132668e+00 -1.0832514e+00 -1.5860970e+00
  1.8565616e-01 -2.0176504e+00  8.8180554e-01  4.6426883e+00
  6.2267011e-01 -2.2061195e+00 -1.8768899e+00 -1.6498481e+00
  3.6324425e+00 -5.1609101e+00  2.7701035e+00  3.0788319e+00
 -1.3809623e+00  4.9819830e-03 -2.6799979e+00  5.8042324e-01
  1.6040595e+00  1.1534083e+01 -4.8480344e+00 -1.4555576e+00
  4.8835966e-01  5.8065718e-01  9.2118824e-01  1.6531289e+00
 -4.6375217e+00  2.0168214e+00 -5.6289160e-01 -2.5764465e+00
 -1.7216916e+00  2.2940228e+00  2.3110211e-01  6.5232725e+00
 -1.9674879e+00  3.0757052e-01  1.8700991e+00  5.3080311e+00
  7.6175570e+00 -2.5939536e+00  4.3850404e-01  8.1651342e-01
  1.7123191e+00 -3.1884375e+00 -3.2050831e+00 -2.3309028e+00
  5.8128458e-02  2.3991234e+00 -4.8464079e+00 -9.9560463e-01
 -3.7170422e+00  5.8789855e-01  5.8843560e+00  6.4885740e+00
  1.3757949e+00 -2.9807453e+00  1.1203276e+00  9.6038663e-01]"
0.55,13.58,10.47,24.32,AAPL_2019,"[ 1.2738758   0.8282937  -2.3776305  -2.7962964  -2.0149987  -1.4125707
 -1.6833456  -3.147132    2.860452    4.370936    0.9664275   0.9359761
 -1.2998893  -3.2988834   0.88683367  2.7561166  -1.5869768  -3.1775463
 -0.01848745 -3.4983277   0.36177468  1.463335    0.87322646 -0.7143606
 -2.1428216  -3.7410972   0.0279845   0.03894832  0.05267235 -1.4317861
  3.2351072   3.6664944  -0.7229383   1.9774448  -1.3297402   1.1320605
  1.1673205  -1.9202343   0.3627016   3.8248985   3.7175944   1.3433921
 -0.15972362 -0.5122533   0.42062664  0.63767856  1.0527099   0.99318653
 -1.5405188   0.16501369  0.02215166 -2.034363    1.0461748   2.1247923
 -0.1581717   1.0690604  -0.5137641  -2.2857277  -1.6573622  -0.14522952
  4.9746976   0.6185336   2.7677944  -1.4211143   1.9201661   1.5929725
  2.4500558  -1.5933869  -3.7275548   1.6069272  -3.6011696   0.07454863
 -1.026207    0.87914646  1.4807556   0.4377066   3.4051607  -0.12995201
 -1.0761373  -1.0709007   1.1688936   3.454512    0.2150408   0.666345
  1.5466383  -1.3287903   0.32771516 -1.2482219   1.7750496  -0.02252379
 -2.593196    4.050096   -1.1375903   1.2778219  -3.972935    0.1369357
  1.1300675   0.671098    3.366513   -1.4150612 ]"
0.18,7.69,8.86,16.72,AAPL_2021,"[ 0.46169004 -0.1374613  -2.044569   -1.4337498  -0.992044    0.2584953
 -1.2474469  -2.3730185   1.4845306   3.059956    0.1696877   0.7409906
 -3.090859   -2.7122133   1.2471529  -0.17584905 -3.8199437   0.20986994
 -0.43038377 -1.2243773   0.49871534  2.30852     0.2646524  -0.98994434
 -0.338486   -2.5665174  -1.1191988  -0.06416463  1.2105277  -4.4246235
  1.7173928   3.1807868  -1.0594487   0.45920447  1.0386493   3.0137925
  1.1649383  -0.8510534   0.14450504  2.8234131   4.629314    2.64829
  0.3217422  -0.95163953 -0.15590487 -1.0384079   2.3500311   0.11271991
 -1.1104887   0.07804359  1.1528144  -0.708339    0.25844753  1.9277554
 -0.5232503  -0.06860495 -0.26398972 -2.89201    -1.138593   -1.2441391
  5.333113   -1.1535736   3.0383248  -1.2890601   2.5648217   1.2374978
  1.2507263  -2.2745225  -0.26171994 -0.38691038 -1.5903105   0.1117197
 -3.0166585  -1.526604    2.936884   -1.498203    1.9948581  -1.252421
 -0.14421056 -2.1870527  -0.42480335  5.8155766  -0.76268494  0.5158162
  2.4247506  -1.8366991  -1.2764899  -1.2162782   2.325211   -0.38836685
 -1.2054548   3.7089822  -0.37540057  1.0570103  -0.26118356  1.9183807
  1.6542476  -0.98692095  1.5385005  -0.66376626]"
0.65,6.86,8.95,16.45,AAPL_2022,"[ 0.9612018  -0.02029459 -1.7565423  -2.838656   -0.46391317  0.06871946
 -0.60465765 -3.2978446   1.4405175   2.6776915  -0.67242914  0.31398895
 -3.2608585  -0.8031007   1.9222091  -0.9277523  -3.468236   -0.6444905
 -0.5486358  -1.2404486   0.84735227  1.9105887   0.38070622  0.37354916
 -1.5375541  -2.3589978  -0.6775032  -0.48477274  1.2994463  -4.0944977
  1.2980509   3.1625376  -1.5653157   1.5954121   0.7592615   3.288094
  1.6894915  -1.142094    0.02639976  1.6664137   5.556797    2.3380985
 -0.20009936 -0.7421257  -0.26254436 -0.5015379   2.43698     0.21122701
 -0.9319162   0.2813755   0.40801185 -0.5161604  -0.11026902  1.2531341
 -1.0476226   0.48113135 -0.03153331 -0.8399091  -1.2998264  -0.81370825
  5.1813607  -1.1311786   3.447159   -2.5966413   2.7153273   0.99436104
  0.93135923 -1.6477875  -0.88809836  0.0627701  -2.4605002   1.5040855
 -2.9587452  -1.5990422   1.6130842  -0.22722824  1.1692395  -0.80461425
 -0.51875454 -2.1829643   0.7593359   4.3429737  -0.92363566 -0.14233507
  0.8852657  -0.6543302  -1.3193967   0.10091833  2.513269   -0.4221329
 -1.6605448   3.402588   -1.2785008   1.8369694  -0.80461603  1.8889197
  0.715833   -0.2472685   1.8228309   0.28487566]"
